err,STM,Res,runtime
0.0801539992244237,gradAlpha,32,9.5
0.11934605017882904,gradAlpha,64,86.56
0.07901282237871295,gradAlpha,128,1051.37
0.05018864487223949,RDF,32,9.86
0.018656842143587773,RDF,64,90.25
0.006885099838057289,RDF,128,1084.28
0.02808675976704475,fitParaboloid,32,9.51
0.013137046630318847,fitParaboloid,64,87.73
0.006697038219853305,fitParaboloid,128,1060.1
