t,vs,s
0.1,0.011253450970680645,0.0
0.101,0.011197602234031946,1.1253450970680645e-05
0.10200000000000001,0.011142576828627912,2.245105320471259e-05
0.10300000000000001,0.011088354721798022,3.35936300333405e-05
0.10400000000000001,0.011034916556684668,4.4681984755138525e-05
0.10500000000000001,0.010982243623209981,5.57169013118232e-05
0.10600000000000001,0.010930317830552741,6.669914493503318e-05
0.10700000000000001,0.010879121681043321,7.762946276558593e-05
0.10800000000000001,0.010828638245391209,8.850858444662925e-05
0.10900000000000001,0.0107788511391654,9.933722269202046e-05
0.11000000000000001,0.01072974450045349,0.00011011607383118586
0.11100000000000002,0.010681302968630256,0.00012084581833163935
0.11200000000000002,0.010633511664171216,0.0001315271213002696
0.11300000000000002,0.01058635616945093,0.00014216063296444082
0.11400000000000002,0.010539822510469733,0.00015274698913389175
0.11500000000000002,0.010493897139456325,0.00016328681164436148
0.11600000000000002,0.010448566918297075,0.0001737807087838178
0.11700000000000002,0.010403819102745914,0.0001842292757021149
0.11800000000000002,0.010359641327371851,0.0001946330948048608
0.11900000000000002,0.010316021591203612,0.00020499273613223268
0.12000000000000002,0.010272948244033662,0.0002153087577234363
0.12100000000000002,0.01023040997334604,0.00022558170596746996
0.12200000000000003,0.010188395791834766,0.000235812115940816
0.12300000000000003,0.010146895025481478,0.00024600051173265074
0.12400000000000003,0.010105897302163002,0.0002561474067581322
0.12500000000000003,0.010065392540761164,0.0002662533040602952
0.12600000000000003,0.010025370940748955,0.00027631869660105636
0.12700000000000003,0.009985822972228553,0.00028634406754180533
0.12800000000000003,0.009946739366398274,0.0002963298905140339
0.12900000000000003,0.009908111106426745,0.0003062766298804322
0.13000000000000003,0.009869929418713931,0.0003161847409868589
0.13100000000000003,0.009832185764519776,0.00032605467040557284
0.13200000000000003,0.009794871831942296,0.00033588685617009264
0.13300000000000003,0.009757979528228072,0.00034568172800203493
0.13400000000000004,0.009721500972398916,0.000355439707530263
0.13500000000000004,0.009685428488179515,0.0003651612085026619
0.13600000000000004,0.009649754597211615,0.0003748466369908414
0.13700000000000004,0.009614472012541125,0.000384496391588053
0.13800000000000004,0.009579573632365277,0.0003941108636005941
0.13900000000000004,0.009545052534027645,0.00040369043723295937
0.14000000000000004,0.0095109019682495,0.000413235489766987
0.14100000000000004,0.009477115353586585,0.00042274639173523653
0.14200000000000004,0.009443686271100978,0.0004322235070888231
0.14300000000000004,0.00941060845923823,0.00044166719335992407
0.14400000000000004,0.009377875808900536,0.0004510778018191623
0.14500000000000005,0.0093454823587071,0.00046045567762806284
0.14600000000000005,0.009313422290433334,0.0004698011599867699
0.14700000000000005,0.009281689924621037,0.0004791145822772033
0.14800000000000005,0.00925027971635194,0.0004883962722018243
0.14900000000000005,0.009219186251177564,0.0004976465519181762
0.15000000000000005,0.009188404241198546,0.0005068657381693538
0.15100000000000005,0.009157928521287011,0.0005160541424105523
0.15200000000000005,0.009127754045445866,0.0005252120709318392
0.15300000000000005,0.009097875883299194,0.000534339824977285
0.15400000000000005,0.009068289216708169,0.0005434377008605842
0.15500000000000005,0.009038989336507281,0.0005525059900772924
0.15600000000000006,0.009009971639355784,0.0005615449794137997
0.15700000000000006,0.008981231624699654,0.0005705549510531555
0.15800000000000006,0.008952764891839427,0.0005795361826778552
0.15900000000000006,0.008924567137099673,0.0005884889475696947
0.16000000000000006,0.008896634151095891,0.0005974135147067943
0.16100000000000006,0.008868961816094924,0.0006063101488578902
0.16200000000000006,0.008841546103465133,0.0006151791106739852
0.16300000000000006,0.008814383071212736,0.0006240206567774503
0.16400000000000006,0.008787468861600908,0.0006328350398486631
0.16500000000000006,0.008760799698848347,0.000641622508710264
0.16600000000000006,0.008734371886904221,0.0006503833084091124
0.16700000000000007,0.008708181807296517,0.0006591176802960166
0.16800000000000007,0.00868222591705089,0.0006678258621033131
0.16900000000000007,0.008656500746677419,0.000676508088020364
0.17000000000000007,0.00863100289822251,0.0006851645887670415
0.17100000000000007,0.008605729043383619,0.000693795591665264
0.17200000000000007,0.0085806759216843,0.0007024013207086475
0.17300000000000007,0.008555840338707394,0.0007109819966303318
0.17400000000000007,0.008531219164384105,0.0007195378369690392
0.17500000000000007,0.008506809331336972,0.0007280690561334233
0.17600000000000007,0.00848260783327465,0.0007365758654647604
0.17700000000000007,0.008458611723436683,0.000745058473298035
0.17800000000000007,0.008434818113086379,0.0007535170850214717
0.17900000000000008,0.00841122417005005,0.0007619519031345581
0.18000000000000008,0.00838782711730097,0.0007703631273046082
0.18100000000000008,0.008364624231586414,0.0007787509544219092
0.18200000000000008,0.008341612842096231,0.0007871155786534956
0.18300000000000008,0.008318790329171518,0.0007954571914955918
0.18400000000000008,0.0082961541230519,0.0008037759818247634
0.18500000000000008,0.008273701702660162,0.0008120721359478152
0.18600000000000008,0.00825143059442282,0.0008203458376504753
0.18700000000000008,0.008229338371125446,0.0008285972682448981
0.18800000000000008,0.008207422650801526,0.0008368266066160235
0.18900000000000008,0.0081856810956537,0.000845034029266825
0.19000000000000009,0.008164111411006264,0.0008532197103624787
0.1910000000000001,0.008142711344287866,0.0008613838217734849
0.1920000000000001,0.008121478684043405,0.0008695265331177728
0.1930000000000001,0.008100411258974111,0.0008776480118018162
0.1940000000000001,0.008079506937004871,0.0008857484230607903
0.1950000000000001,0.008058763624377902,0.0008938279299977952
0.1960000000000001,0.008038179264771888,0.0009018866936221731
0.1970000000000001,0.008017751838445742,0.000909924872886945
0.1980000000000001,0.007997479361406176,0.0009179426247253907
0.1990000000000001,0.007977359884598322,0.0009259401040867969
